feature,mean_abs_shap
concept:name=Awaiting Assignment,0.05601337883729533
event_type=Queued,0.05490764964862753
concept:name_transition=Awaiting Assignment->In Progress,0.034904445465867746
day_of_week_min,0.02187937353014046
month_sum,0.01704890960845635
month_count,0.016706205827465806
relative_age_sum,0.01657689986387045
concept:name_transition=In Progress->Awaiting Assignment,0.016517640572432345
hour_count,0.014952595560943775
last_activity=In Progress,0.014197081594050462
prefix_length_mean,0.01347204017433047
day_of_week_max,0.012855819031107161
relative_age_mean,0.012299122558111641
time_since_last_count,0.012287626830294083
month_mean,0.011343211895966297
organization country=pl,0.010947615749932214
organization involved=Org line C,0.010935189601315462
first_activity=In Progress,0.009983511752543793
prefix_length_max,0.009970071589489015
day_of_week_mean,0.009878031950911529
is_weekend_count,0.009680568511411972
month_min,0.009358086611938777
organization country=in,0.009320076813733275
time_since_last_sum,0.009132062250778884
hour_sum,0.009108127648830993
elapsed_time_count,0.008841393462622957
month_max,0.008438815719442539
day_of_week_count,0.008160473971163772
relative_age_count,0.007362936309451542
elapsed_time_max,0.006759975025247917
elapsed_time_sum,0.006441641821897959
day_of_week_sum,0.0062887481178344855
organization involved=Org line A2,0.00602986530665365
first_activity=Awaiting Assignment,0.005745035769833751
last_activity=Awaiting Assignment,0.005529413271328431
event_type=Accepted,0.0050585265006828995
event_type=Completed,0.004570386716819935
prefix_length_min,0.00456470359900716
elapsed_time_mean,0.004511289562146264
elapsed_time_std,0.0044757341176748225
concept:name=In Progress,0.004458034178070274
prefix_length_sum,0.004450380971335814
relative_age_std,0.004050782034375002
time_since_last_max,0.004025814194900263
last_activity=Resolved,0.0038233583875961793
relative_age_max,0.0038105568368329915
time_since_last_mean,0.003185786147723191
resource country=Sweden,0.003166539489022624
hour_mean,0.0029745388164723703
organization country=se,0.0029742745286427162
organization country=fr,0.002240916620933052
hour_std,0.002144716021347659
hour_min,0.0020831930417256114
concept:name=Resolved,0.0020213633076569546
concept:name_transition=In Progress->Resolved,0.0019216826571357222
resource country=POLAND,0.0017160017071248307
hour_max,0.0016393446272614702
resource country=Japan,0.0014098751260924768
concept:name=Wait,0.0014006634748389552
prefix_length_count,0.0013559844134491614
concept:name_transition=In Progress->Assigned,0.0012943462802041954
organization country=SE,0.0012688233905393076
concept:name_transition=In Progress->Wait,0.001209651264186308
organization involved=Org line G4,0.0011847257200409463
day_of_week_std,0.001134509547034837
time_since_last_std,0.0011150269862694703
concept:name_transition=In Progress->Wait - User,0.0011044186495999372
resource country=Belgium,0.0010797780057442347
resource country=Brazil,0.0010682771909109523
concept:name=Wait - User,0.0010351831723099543
organization country=cn,0.000995285051893332
resource country=0,0.0009938286398234902
concept:name=Assigned,0.0009895126906159495
concept:name_transition=In Progress->In Progress,0.0009487626592151842
resource country=USA,0.0009432574131474334
resource country=China,0.0009393829174842015
concept:name_transition=Assigned->In Progress,0.0009190040630086905
organization involved=Other,0.0008814464507081719
concept:name_transition=In Progress->Wait - Implementation,0.0008639996057193466
last_activity=Wait - User,0.0007677263347923643
concept:name=Wait - Implementation,0.0007228397385821416
resource country=INDIA,0.0006949064105529948
concept:name_transition=Awaiting Assignment->Awaiting Assignment,0.0006290913477437672
organization involved=Org line B,0.000596050912968446
last_activity=Wait,0.0005731401517609892
organization country=be,0.0005296467475456152
concept:name_transition=Wait - Implementation->Assigned,0.0005285210420788721
concept:name_transition=Wait - User->In Progress,0.000518436677841727
organization country=us,0.00047526802072990997
concept:name=In Call,0.00045838711588040785
concept:name_transition=In Progress->In Call,0.0003818193509828606
concept:name_transition=Wait - User->Awaiting Assignment,0.0003047318389264161
concept:name_transition=Wait->In Progress,0.0002759726675099646
resource country=France,0.00026250924005244165
organization involved=Org line V2,0.00022739640206327944
is_weekend_max,0.0001924996606336858
organization country=ca,0.00018810145168659037
concept:name_transition=In Call->In Progress,0.0001708044820312541
last_activity=Assigned,0.00014505003145908943
is_weekend_mean,0.0001412980150055048
